UNIX_Time,UTC_Date,UTC_Time,Latitude,North-South,Longitude,East-West
1645151945.1810606,180222,023901.50,3530.96361477,N,13932.71271057,E
1645151945.233061,180222,023901.60,3530.96361477,N,13932.71271057,E
1645151945.3340604,180222,023901.70,3530.96361276,N,13932.71271200,E
1645151945.4350595,180222,023901.80,3530.96361276,N,13932.71271200,E
1645151945.5260599,180222,023901.90,3530.96361202,N,13932.71271220,E
1645151945.6270602,180222,023902.00,3530.96361202,N,13932.71271220,E
1645151945.7275279,180222,023902.10,3530.96361202,N,13932.71271220,E
1645151945.8285265,180222,023902.20,3530.96361160,N,13932.71271329,E
1645151945.929526,180222,023902.30,3530.96361055,N,13932.71271636,E
1645151946.0306435,180222,023902.40,3530.96361055,N,13932.71271636,E
1645151946.1316414,180222,023902.50,3530.96360998,N,13932.71271810,E
1645151946.2314506,180222,023902.60,3530.96360998,N,13932.71271810,E
